"Ständige Wohnbevölkerung nach Staatsangehörigkeitskategorie und Geschlecht, am 31.12.2013",,,,,,,,,T 1.2.1.2.7
,,,,,,,,,
,,,,,,,,,
,KTNR,GRNR,Total,Schweizer,,,Ausländer 1),,
,,,,,,,,,
,,,,Total,Mann,Frau,Total,Mann,Frau
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Total,,,8139631,6202184,2993616,3208568,1937447,1028475,908972
,,,,,,,,,
Genferseeregion,,1,1545817,1037401,490708,546693,508416,264996,243420
Waadt,22,,749373,503493,237641,265852,245880,129125,116755
Wallis,23,,327011,254273,123226,131047,72738,38765,33973
Genf,25,,469433,279635,129841,149794,189798,97106,92692
,,,,,,,,,
Espace Mittelland,,2,1808480,1494209,722048,772161,314271,167271,147000
Bern,2,,1001281,855740,412345,443395,145541,77169,68372
Freiburg,10,,297622,235799,115572,120227,61823,33113,28710
Solothurn,11,,261437,208257,101625,106632,53180,28125,25055
Neuenburg,24,,176402,132428,62392,70036,43974,23622,20352
Jura,26,,71738,61985,30114,31871,9753,5242,4511
,,,,,,,,,
Nordwestschweiz,,3,1104353,833402,402211,431191,270951,143631,127320
Basel-Stadt,12,,189335,124478,57353,67125,64857,33771,31086
Basel-Landschaft,13,,278656,221006,106007,114999,57650,30273,27377
Aargau,19,,636362,487918,238851,249067,148444,79587,68857
,,,,,,,,,
Zürich,1,4,1425538,1064112,514113,549999,361426,192676,168750
,,,,,,,,,
Ostschweiz,,5,1134781,888862,434108,454754,245919,133212,112707
Glarus,8,,39593,30795,15124,15671,8798,4937,3861
Schaffhausen,14,,78783,59350,28522,30828,19433,10327,9106
Appenzell A. Rh.,15,,53691,45645,22651,22994,8046,4400,3646
Appenzell I. Rh.,16,,15778,14124,7163,6961,1654,919,735
St. Gallen,17,,491699,379074,184453,194621,112625,60796,51829
Graubünden,18,,194959,160440,78319,82121,34519,18906,15613
Thurgau,20,,260278,199434,97876,101558,60844,32927,27917
,,,,,,,,,
Zentralschweiz,,6,774123,632025,312195,319830,142098,76476,65622
Luzern,3,,390349,323029,157657,165372,67320,35725,31595
Uri,4,,35865,31887,16008,15879,3978,2317,1661
Schwyz,5,,151396,121710,61331,60379,29686,16125,13561
Obwalden,6,,36507,31414,15704,15710,5093,2804,2289
Nidwalden,7,,41888,36410,18368,18042,5478,3037,2441
Zug,9,,118118,87575,43127,44448,30543,16468,14075
,,,,,,,,,
Tessin,21,7,346539,252173,118233,133940,94366,50213,44153
